strata,patch,time,R_eff
1,1,25,1.9965790603735667
2,1,25,3.0355891161925523
3,1,25,1.6371131494473912
1,2,25,1.9971485041644117
2,2,25,3.035323052440863
3,2,25,1.6373548680427634
1,3,25,1.9970670674521895
2,3,25,3.035393744587487
3,3,25,1.6373136407117788
1,4,25,1.9973107119207096
2,4,25,3.0354216012795376
3,4,25,1.6374433534256025
1,5,25,1.9966579339185782
2,5,25,3.0351342772986163
3,5,25,1.6371407207448085
1,1,26,1.7007360324858405
2,1,26,2.5028187554391628
3,1,26,1.4016176220196617
1,2,26,1.7012626303497322
2,2,26,2.502626629125217
3,2,26,1.4018369955457832
1,3,26,1.7011863501465108
2,3,26,2.5026781027514313
3,3,26,1.4017973409514364
1,4,26,1.7014068155024265
2,4,26,2.502702995724251
3,4,26,1.4019051797192885
1,5,26,1.7008212847568898
2,5,26,2.502461462255305
3,5,26,1.4016570411153906
1,1,27,1.3420094932766862
2,1,27,1.919267981949164
3,1,27,1.1416011821190644
1,2,27,1.3424611486738263
2,2,27,1.9191700681863244
3,2,27,1.141789403776973
1,3,27,1.3423932526859341
2,3,27,1.9191967109633663
3,3,27,1.1417512967787253
1,4,27,1.3425731677335946
2,4,27,1.9192163258185617
3,4,27,1.141829876133879
1,5,27,1.3421013278136944
2,5,27,1.9190377657697386
3,5,27,1.1416553982387292
1,1,28,0.9070594862330655
2,1,28,1.3420514651967206
3,1,28,0.8804065426531574
1,2,28,0.9073942273536696
2,2,28,1.3420568453715591
3,2,28,0.8805586217842782
1,3,28,0.907338740678687
2,3,28,1.3420554086411176
3,3,28,0.8805215148429626
1,4,28,0.90745505826069
2,4,28,1.342067408814224
3,4,28,0.8805663084491164
1,5,28,0.9071580513592128
2,5,28,1.3419640440329341
3,5,28,0.8804783118568607
1,1,29,0.5138519659753505
2,1,29,0.890149612528651
3,1,29,0.6673895120010598
1,2,29,0.5140674304607548
2,2,29,0.8902396721522163
3,2,29,0.667510426137901
1,3,29,0.5140225050135798
2,3,29,0.8902130621657542
3,3,29,0.667472832771023
1,4,29,0.5140708199020899
2,4,29,0.8902158291006212
3,4,29,0.6674870491491414
1,5,29,0.5139633211143901
2,5,29,0.8901853434628968
3,5,29,0.6674805391440304
1,1,30,0.44626100727100865
2,1,30,0.8028973678534106
3,1,30,0.6020035933902541
1,2,30,0.44646310452656435
2,2,30,0.8029925296260804
3,2,30,0.6021205746155109
1,3,30,0.4464150454595739
2,3,30,0.8029572521899061
3,3,30,0.6020791709929294
1,4,30,0.44644821523591766
2,4,30,0.8029512365179061
3,4,30,0.6020834091951933
1,5,30,0.4463937575225683
2,5,30,0.80295826118843
3,5,30,0.6021132072729817
1,1,31,0.4459730923421857
2,1,31,0.8022898685807227
3,1,31,0.6015681172730778
1,2,31,0.44618057972720915
2,2,31,0.8023854516906442
3,2,31,0.6016895981322171
1,3,31,0.4461333393870914
2,3,31,0.8023533734999165
3,3,31,0.6016500993757795
1,4,31,0.4461700870842136
2,4,31,0.8023510056719053
3,4,31,0.6016581600510672
1,5,31,0.4461035093704945
2,5,31,0.8023430862527953
3,5,31,0.6016737282257162
1,1,32,0.44568324062199893
2,1,32,0.8016820188670948
3,1,32,0.6011321198956472
1,2,32,0.44589583606731603
2,2,32,0.8017779265363432
3,2,32,0.6012578737164194
1,3,32,0.4458494483901953
2,3,32,0.8017489921425831
3,3,32,0.6012202743244671
1,4,32,0.44588964542808757
2,4,32,0.8017501503446325
